,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN
0,,,,,,,,,,,,,,WEICHSELL,,,,,,,3316,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,3317,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,3319,,,,,True,,,,,,,
0,,,,,,,,,,,,MORTELLARI-m.],,WEICHSELL,,,,,,,3320,,,,,,,FERGUSON~,,,,,
0,,,,,,,,,,,,,,,,,,,,,3321,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,3322,,,VOGLER,,True,,,,True,,,
0,,,,,,,,,,,,,,WEICHSELL,,,,,,,3324,,,,,True,,,,,,,
0,,,,,,,,SALOMON,,,,,,,,,,,,,3325,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,3326,,,,,,,,,,,,
0,,,,,,,,CRAMER-w,,,,,,,,,,,,True,3327,,,,,True,,,,,,,
0,,,,,,,,PIELTAIN-dp,,,,,,,,,,,,,3328,,,,,,,,,,,,
0,,,,,,,,,,,,,,CRAMER-w,,,,,,,3329,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,3330,,,,,,,,,,,,
0,,,ARNOLD,,,,,,,,,,,RAIMONDI,,,,,,,3331,,,,,True,,,,,,,
0,,,,,,,,,,,,,HOOK,,,,,,,,3332,,,,,True,,LEAVER~,,,,,
1,,,,,,,,,,,,,PARKE,,,,,,,,3332,,,,,,,NEWMAN~,,,,,
2,,,,,,,,,,,,,PARKINSON,,,,,,,,3332,,,,,,,LEARY~,,,,,
3,,,,,,,,,,,,,SARJANT,,,,,,,,3332,,,,,,,PAGE*,,,,,
4,,,,,,,,,,,,,PIELTAIN,,,,,,,,3332,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,3336,,,VOGLER,,,,,,,,,
0,,,,,,,,,,,,,,CRAMER-w,,,,,,,3337,,,,,True,,MARA~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,CANTELO~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,MAHON~s,,,,,
3,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,POOLE~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,DALL~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,ABRAMS~T,,,,,
6,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,ABRAMS~,,,,,
7,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,STORACE~,,,,,
8,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,PACCHIEROTTI,,,,,
9,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,NORRIS,,,,,
10,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,KELLY-m,,,,,
11,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,SAVILLE,,,,,
12,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,SALE,,,,,
13,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,NIELD,,,,,
14,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,KNYVETT,,,,,
15,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,GRIFFITHS,,,,,
16,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,CHAMPNESS,,,,,
17,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,MATHEWS,,,,,
18,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,REYNOLDSON,,,,,
19,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,GORE,,,,,
20,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,GOSS,,,,,
21,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,HUDSON,,,,,
22,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,CORFE,,,,,
23,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,BARTLEMAN,,,,,
24,,,,,,,,,,,,,,,,,,,,,3337,,,,,,,BELLAMY,,,,,
0,,,,,,,,,,,,,,,,,,,,,3338,,,,,True,,MARA~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,CANTELO~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,MAHON~s,,,,,
3,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,POOLE~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,DALL~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,ABRAMS~T,,,,,
6,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,ABRAMS~,,,,,
7,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,STORACE~,,,,,
8,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,PACCHIEROTTI,,,,,
9,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,NORRIS,,,,,
10,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,KELLY-m,,,,,
11,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,SAVILLE,,,,,
12,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,SALE,,,,,
13,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,NIELD,,,,,
14,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,KNYVETT,,,,,
15,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,GRIFFITHS,,,,,
16,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,CHAMPNESS,,,,,
17,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,MATHEWS,,,,,
18,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,REYNOLDSON,,,,,
19,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,GORE,,,,,
20,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,GOSS,,,,,
21,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,HUDSON,,,,,
22,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,CORFE,,,,,
23,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,BARTLEMAN,,,,,
24,,,,,,,,,,,,,,,,,,,,,3338,,,,,,,BELLAMY,,,,,
0,,,,,,,,CRAMER-w,,,,,,,,,,,,,3339,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,3340,,,VOGLER,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,3341,,,,,True,,MARA~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,CANTELO~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,MAHON~s,,,,,
3,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,POOLE~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,DALL~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,ABRAMS~T,,,,,
6,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,ABRAMS~,,,,,
7,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,STORACE~,,,,,
8,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,PACCHIEROTTI,,,,,
9,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,NORRIS,,,,,
10,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,KELLY-m,,,,,
11,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,SAVILLE,,,,,
12,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,SALE,,,,,
13,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,NIELD,,,,,
14,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,KNYVETT,,,,,
15,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,GRIFFITHS,,,,,
16,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,CHAMPNESS,,,,,
17,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,MATHEWS,,,,,
18,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,REYNOLDSON,,,,,
19,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,GORE,,,,,
20,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,GOSS,,,,,
21,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,HUDSON,,,,,
22,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,CORFE,,,,,
23,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,BARTLEMAN,,,,,
24,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,BELLAMY,,,,,
0,,,,,,,,CRAMER-w,,,,,,,,,,,,,3342,,,,,,,,,,,,
0,,,,,,,,,,,,,,CRAMER-w,,,,,,,3343,,,,,True,,MARA~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,CANTELO~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,MAHON~s,,,,,
3,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,POOLE~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,DALL~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,ABRAMS~T,,,,,
6,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,ABRAMS~,,,,,
7,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,STORACE~,,,,,
8,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,PACCHIEROTTI,,,,,
9,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,NORRIS,,,,,
10,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,KELLY-m,,,,,
11,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,SAVILLE,,,,,
12,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,SALE,,,,,
13,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,NIELD,,,,,
14,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,KNYVETT,,,,,
15,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,GRIFFITHS,,,,,
16,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,CHAMPNESS,,,,,
17,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,MATHEWS,,,,,
18,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,REYNOLDSON,,,,,
19,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,GORE,,,,,
20,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,GOSS,,,,,
21,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,HUDSON,,,,,
22,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,CORFE,,,,,
23,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,BARTLEMAN,,,,,
24,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,BELLAMY,,,,,
0,,,,,,,,,,,,,,,,,,,,,3344,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,3345,,,,,True,,,,,,,
0,,,,,,,,,,,,,,CRAMER-w,,,,,,,3346,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,3348,,,,,True,,INCLEDON,,,,,
1,,,,,,,,,,,,,,,,,,,,,3348,,,,,,,DARLEY,,,,,
2,,,,,,,,,,,,,,,,,,,,,3348,,,,,,,PAGE,,,,,
3,,,,,,,,,,,,,,,,,,,,,3348,,,,,,,LEARY~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3348,,,,,,,LEAVER~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3348,,,,,,,NEWMAN~,,,,,
0,,,ARNOLD,,,,,,,,,,,SALOMON,,,,,,,3349,,,,,,,STORACE~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3349,,,,,,,ABRAMS~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3349,,,,,,,ABRAMS~T,,,,,
3,,,,,,,,,,,,,,,,,,,,,3349,,,,,,,KELLY-m,,,,,
4,,,,,,,,,,,,,,,,,,,,,3349,,,,,,,SALE,,,,,
5,,,,,,,,,,,,,,,,,,,,,3349,,,,,,,BARTLEMAN,,,,,
6,,,,,,,,,,,,,,,,,,,,,3349,,,,,,,GORE,,,,,
7,,,,,,,,,,,,,,,,,,,,,3349,,,,,,,PAGE,,,,,
0,,,,,,,,,,,,,,,,,,,,True,3350,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,3351,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,3352,,,,,,,,,,,,
0,,,HAYES-p,,,,,,,,,,,CRAMER-w,,,,,,,3353,,,,,True,,,,,,,
1,,,MILLER-e,,,,,,,,,,,,,,,,,,3353,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,3354,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,3355,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,3356,,,,,True,,,,,,,
0,,ELEY,,,,,,,,,,HAYDN,,SALOMON,,,True,,,True,3357,,,,,,,,,,BREVAL,,
0,,,LINLEY-t1,,,,,,,,,,,SHAW,,,,,,,3358,,,,,True,,SPENCE,,,MASON,,
1,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,(FIRST,,,,,
2,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,APPEARANCE,,,,,
3,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,IN,,,,,
4,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,PUBLIC),,,,,
5,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,BROADHURST~,,,,,
6,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,(FIRST,,,,,
7,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,APPEARANCE,,,,,
8,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,IN,,,,,
9,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,ORATORIOS),,,,,
10,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,HAGLEY~,,,,,
11,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,DIGNUM,,,,,
12,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,BELLAMY-tl,,,,,
13,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,(FIRST,,,,,
14,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,APPEARANCE),,,,,
0,,,,,,,ASHLEY-Jj,HARRISON,,,,,,ASHLEY-Gc,,,,,,,3359,,,KNYVETT,,True,,HARRISON,,,,,
1,,,,,,,,ASHLEY-j,,,,,,,,,,,,,3359,,,,,,,INCLEDON,,,,,
2,,,,,,,,,,,,,,,,,,,,,3359,,,,,,,GRIFFITHS,,,,,
3,,,,,,,,,,,,,,,,,,,,,3359,,,,,,,SALE,,,,,
4,,,,,,,,,,,,,,,,,,,,,3359,,,,,,,POOLE~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3359,,,,,,,PIELE~,,,,,
6,,,,,,,,,,,,,,,,,,,,,3359,,,,,,,BILLINGTON~,,,,,
0,,,,,,,,,,,,,,,,,,,,,3360,,,,,True,,,,,,,
0,,,LINLEY-t1,,,,,,,,,,,SHAW,,,,,,,3361,,,,,True,,CROUCH~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3361,,,,,,,SPENCE,,,,,
2,,,,,,,,,,,,,,,,,,,,,3361,,,,,,,BROADHURST~,,,,,
3,,,,,,,,,,,,,,,,,,,,,3361,,,,,,,HAGLEY~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3361,,,,,,,DIGNUM,,,,,
5,,,,,,,,,,,,,,,,,,,,,3361,,,,,,,REINHOLD,,,,,
6,,,,,,,,,,,,,,,,,,,,,3361,,,,,,,DAVIES~C,,,,,
0,,,,,,,,HARRISON,,,,,,ASHLEY-Gc,,,,,,,3362,,,GREATOREX,,,,HARRISON,,,,,
1,,,,,,,,ASHLEY-j,,,,,,,,,,,,,3362,,,,,,,INCLEDON,,,,,
2,,,,,,,,,,,,,,,,,,,,,3362,,,,,,,GRIFFITHS,,,,,
3,,,,,,,,,,,,,,,,,,,,,3362,,,,,,,SALE,,,,,
4,,,,,,,,,,,,,,,,,,,,,3362,,,,,,,POOLE~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3362,,,,,,,PIELE~,,,,,
6,,,,,,,,,,,,,,,,,,,,,3362,,,,,,,BILLINGTON~,,,,,
0,,,,,,,,,,,,HAYDN,,SALOMON,,,,,,,3363,,,,,True,,,,,,,
0,,,ARNOLD,,,,ASHBRIDGE,,,,,,,RAIMONDI,,,,,,,3364,,,,,True,,PACCHIEROTTI,,,,,
1,,,,,,,,,,,,,,,,,,,,,3364,,,,,,,CROUCH~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3364,,,,,,,REINHOLD,,,,,
3,,,,,,,,,,,,,,,,,,,,,3364,,,,,,,KELLY-m,,,,,
4,,,,,,,,,,,,,,,,,,,,,3364,,,,,,,MARA~,,,,,
0,,,LINLEY-t1,,,,,,,,,,,SHAW,,,,,,,3365,,,,,True,,SPENCE,,,,,
1,,,,,,,,,,,,,,,,,,,,,3365,,,,,,,BROADHURST~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3365,,,,,,,BELLAMY-tl,,,,,
0,,,,,,,,HARRISON,,,MEYER,,,ASHLEY-Gc,,,,,,,3366,,,KNYVETT,,True,,HARRISON,,,,,
1,,,,,,,,ASHLEY-j,,,,,,,,,,,,,3366,,,,,,,INCLEDON,,,,,
2,,,,,,,,,,,,,,,,,,,,,3366,,,,,,,GRIFFITHS,,,,,
3,,,,,,,,,,,,,,,,,,,,,3366,,,,,,,SALE,,,,,
4,,,,,,,,,,,,,,,,,,,,,3366,,,,,,,POOLE~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3366,,,,,,,PIELE~,,,,,
6,,,,,,,,,,,,,,,,,,,,,3366,,,,,,,BILLINGTON~,,,,,
0,,,,,,,,,,,,,,,,,,,,True,3367,,,,,,,,,,,,
0,,,ARNOLD,,,,,,,,,,,SHAW,,,,,,,3368,,,,,True,,CROUCH~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3368,,,,,,,SPENCE,,,,,
2,,,,,,,,,,,,,,,,,,,,,3368,,,,,,,HAGLEY~,,,,,
3,,,,,,,,,,,,,,,,,,,,,3368,,,,,,,DIGNUM,,,,,
4,,,,,,,,,,,,,,,,,,,,,3368,,,,,,,REINHOLD,,,,,
5,,,,,,,,,,,,,,,,,,,,,3368,,,,,,,BROADHURST~,,,,,
0,,,,,,,,HARRISON,,,,,,ASHLEY-Gc,,,,,,,3369,,,GREATOREX,,True,,HARRISON,,,ASHLEY-Cj,,
1,,,,,,,,ASHLEY-j,,,,,,,,,,,,,3369,,,,,,,INCLEDON,,,,,
2,,,,,,,,,,,,,,,,,,,,,3369,,,,,,,GRIFFITHS,,,,,
3,,,,,,,,,,,,,,,,,,,,,3369,,,,,,,POOLE~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3369,,,,,,,PIELE~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3369,,,,,,,BILLINGTON~,,,,,
0,,,,,,,,,,,,,,,,,,,,,3370,,,,,True,,,,,,,
0,,,,,,,,,,,,HAYDN,,SALOMON,,,,,,,3371,,,,,,,,,,,,
0,,,LINLEY-t1,,,,,,,,,,,SHAW,,,,,,,3372,,,,,True,,CROUCH~,,,MASON,,
1,,,,,,,,,,,,,,,,,,,,,3372,,,,,,,KELLY-m,,,,,
2,,,,,,,,,,,,,,,,,,,,,3372,,,,,,,SPENCE,,,,,
3,,,,,,,,,,,,,,,,,,,,,3372,,,,,,,DIGNUM,,,,,
4,,,,,,,,,,,,,,,,,,,,,3372,,,,,,,BELLAMY-tl,,,,,
0,,,,,,,,HARRISON,,,,,,ASHLEY-Gc,,,,,,,3373,,,KNYVETT,,True,,HARRISON,,,,,
1,,,,,,,,ASHLEY-j,,,,,,,,,,,,,3373,,,,,,,INCLEDON,,,,,
2,,,,,,,,,,,,,,,,,,,,,3373,,,,,,,GRIFFITHS,,,,,
3,,,,,,,,,,,,,,,,,,,,,3373,,,,,,,SALE,,,,,
4,,,,,,,,,,,,,,,,,,,,,3373,,,,,,,POOLE~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3373,,,,,,,PIELE~,,,,,
6,,,,,,,,,,,,,,,,,,,,,3373,,,,,,,BILLINGTON~,,,,,
0,,,,,,,,"FEDERICI,",,,,,,,,,,,,,3374,,,,,True,,,,,,,
1,,,,,,,,LEAD,,,,,,,,,,,,,3374,,,,,,,,,,,,
2,,,,,,,,SALOMON,,,,,,,,,,,,,3374,,,,,,,,,,,,
0,,,ARNOLD,,,,,,,,,,,SHAW,,,,,,,3376,,,,,True,,CROUCH~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3376,,,,,,,HAGLEY~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3376,,,,,,,REINHOLD,,,,,
3,,,,,,,,,,,,,,,,,,,,,3376,,,,,,,SPENCE,,,,,
4,,,,,,,,,,,,,,,,,,,,,3376,,,,,,,DIGNUM,,,,,
5,,,,,,,,,,,,,,,,,,,,,3376,,,,,,,BROADHURST~,,,,,
6,,,,,,,,,,,,,,,,,,,,,3376,,,,,,,DAVIES~C,,,,,
0,,,,,,,,HARRISON,,,,,,ASHLEY-Gc,,,,,,,3377,,,GREATOREX,,True,,HARRISON,,,,,
1,,,,,,,,ASHLEY-j,,,,,,,,,,,,,3377,,,,,,,INCLEDON,,,,,
2,,,,,,,,,,,,,,,,,,,,,3377,,,,,,,GRIFFITHS,,,,,
3,,,,,,,,,,,,,,,,,,,,,3377,,,,,,,POOLE~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3377,,,,,,,PIELE~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3377,,,,,,,BILLINGTON~,,,,,
0,,,,,,,,,,,,HAYDN,,SALOMON,,,,,,True,3378,,,,,,,,,,,,
0,,,LINLEY-t1,,,,,,,,,,,SHAW,,,,,,,3379,,,,,True,,CROUCH~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3379,,,,,,,BROADHURST~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3379,,,,,,,HAGLEY~,,,,,
3,,,,,,,,,,,,,,,,,,,,,3379,,,,,,,DIGNUM,,,,,
4,,,,,,,,,,,,,,,,,,,,,3379,,,,,,,REINHOLD,,,,,
5,,,,,,,,,,,,,,,,,,,,,3379,,,,,,,SPENCE,,,,,
6,,,,,,,,,,,,,,,,,,,,,3379,,,,,,,KELLY-m,,,,,
7,,,,,,,,,,,,,,,,,,,,,3379,,,,,,,BELLAMY-tl,,,,,
0,,,,,,,,HARRISON,,,,,,ASHLEY-Gc,,,,,,,3380,,,KNYVETT,,True,,HARRISON,,,,,
1,,,,,,,,ASHLEY-j,,,,,,,,,,,,,3380,,,,,,,INCLEDON,,,,,
2,,,,,,,,,,,,,,,,,,,,,3380,,,,,,,GRIFFITHS,,,,,
3,,,,,,,,,,,,,,,,,,,,,3380,,,,,,,SALE,,,,,
4,,,,,,,,,,,,,,,,,,,,,3380,,,,,,,POOLE~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3380,,,,,,,PIELE~,,,,,
6,,,,,,,,,,,,,,,,,,,,,3380,,,,,,,BILLINGTON~,,,,,
0,,,ARNOLD,,,,,,,,,,,SHAW,,,,,,,3382,,,,,True,,CROUCH~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3382,,,,,,,SPENCE,,,,,
2,,,,,,,,,,,,,,,,,,,,,3382,,,,,,,BROADHURST~,,,,,
3,,,,,,,,,,,,,,,,,,,,,3382,,,,,,,HAGLEY~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3382,,,,,,,DIGNUM,,,,,
5,,,,,,,,,,,,,,,,,,,,,3382,,,,,,,REINHOLD,,,,,
6,,,,,,,,,,,,,,,,,,,,,3382,,,,,,,DAVIES~C,,,,,
0,,,,,,,,HARRISON,,,,,,ASHLEY-Gc,,,,,,,3383,,,KNYVETT,,True,,HARRISON,,,,,ASHLEY-gc
1,,,,,,,,ASHLEY-j,,,,,,,,,,,,,3383,,,,,,,INCLEDON,,,,,
2,,,,,,,,,,,,,,,,,,,,,3383,,,,,,,GRIFFITHS,,,,,
3,,,,,,,,,,,,,,,,,,,,,3383,,,,,,,POOLE~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3383,,,,,,,PIELE~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3383,,,,,,,BILLINGTON~,,,,,
0,,,,,,,,,,,,HAYDN,,SALOMON,,,,,,True,3384,,,,,True,,,,,,,
0,,,ARNOLD,,,,,,,,,,,SHAW,,,,,,,3385,,,,,True,,CROUCH~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3385,,,,,,,HAGLEY~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3385,,,,,,,REINHOLD,,,,,
3,,,,,,,,,,,,,,,,,,,,,3385,,,,,,,SPENCE,,,,,
4,,,,,,,,,,,,,,,,,,,,,3385,,,,,,,DIGNUM,,,,,
5,,,,,,,,,,,,,,,,,,,,,3385,,,,,,,BROADHURST~,,,,,
6,,,,,,,,,,,,,,,,,,,,,3385,,,,,,,DAVIES~C,,,,,
0,,,,,,,,HARRISON,,,,,,ASHLEY-Gc,,,,,,,3386,,,KNYVETT,,True,,HARRISON,,,,,
1,,,,,,,,ASHLEY-j,,,,,,,,,,,,,3386,,,,,,,INCLEDON,,,,,
2,,,,,,,,,,,,,,,,,,,,,3386,,,,,,,GRIFFITHS,,,,,
3,,,,,,,,,,,,,,,,,,,,,3386,,,,,,,SALE,,,,,
4,,,,,,,,,,,,,,,,,,,,,3386,,,,,,,POOLE~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3386,,,,,,,PIELE~,,,,,
6,,,,,,,,,,,,,,,,,,,,,3386,,,,,,,BILLINGTON~,,,,,
0,,,,,,,,,,,,,,,,,,,,True,3387,,,,,,,,,,,,
0,,,,,,,,,,,,,,EVANS-C,,,,,,,3388,,,,,True,,,,,,,
0,,,ARNOLD,,,,,,,,,,,SHAW,,,,,,True,3389,,,,,True,,CROUCH~,,,,,SHAW
1,,,,,,,,,,,,,,,,,,,,,3389,,,,,,,BROADHURST~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3389,,,,,,,HAGLEY~,,,,,
3,,,,,,,,,,,,,,,,,,,,,3389,,,,,,,REINHOLD,,,,,
4,,,,,,,,,,,,,,,,,,,,,3389,,,,,,,SPENCE,,,,,
5,,,,,,,,,,,,,,,,,,,,,3389,,,,,,,DIGNUM,,,,,
6,,,,,,,,,,,,,,,,,,,,,3389,,,,,,,DAVIES~C,,,,,
0,,,,,,,,HARRISON,,,,,,ASHLEY-Gc,,,,,,,3390,,,KNYVETT,,True,,HARRISON,,,,,
1,,,,,,,,ASHLEY-j,,,,,,,,,,,,,3390,,,,,,,INCLEDON,,,,,
2,,,,,,,,,,,,,,,,,,,,,3390,,,,,,,GRIFFITHS,,,,,
3,,,,,,,,,,,,,,,,,,,,,3390,,,,,,,POOLE~,,,,,
4,,,,,,,,,,,,,,,,,,,,,3390,,,,,,,PIELE~,,,,,
5,,,,,,,,,,,,,,,,,,,,,3390,,,,,,,BILLINGTON~,,,,,
0,,,,,,,,,,,,HAYDN,,SALOMON,,,,,,True,3391,,,,,True,,,,,,,
0,,,ARNOLD,,,,,,,,,,,SHAW,,,,,,,3392,,,,,True,,CROUCH~,,,,,
1,,,,,,,,,,,,,,,,,,,,,3392,,,,,,,HAGLEY~,,,,,
2,,,,,,,,,,,,,,,,,,,,,3392,,,,,,,SPENCE,,,,,
3,,,,,,,,,,,,,,,,,,,,,3392,,,,,,,REINHOLD,,,,,
4,,,,,,,,,,,,,,,,,,,,,3392,,,,,,,DIGNUM,,,,,
