Num,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN,GU,PSALTERY
0.0,,,,,,,,,,,,,,CHABRAN,,,,,,,240.0,,,,,False,,RAMELIO~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,240.0,,,,,False,,MOORE,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,242.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,BROWN-a,,,,,,,243.0,,,,,,,GALLI~,,,GORDON,,JACKSON-1,,
1.0,,,,,,,,,,,,,,,,,,,,,243.0,,,,,,,BENNETT~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,246.0,PLA-g,,,,False,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,246.0,PLA-j,,,,False,,RANIERI,,,,,,,
0.0,,,,,,,,,,,,,,HELLENDAAL,,,,,,,248.0,PLA-g,,,,False,,CHABRAN~,,,CERVETTO-gb,,,,
1.0,,,,,,,,,,,,,,,,,,,,,248.0,PLA-j,,,,False,,GALLI~,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,248.0,,,,,False,,MANFREDINI,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,252.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,GIARDINI,,,,,,,254.0,,,,,,,,,,,,,,
0.0,MILLER-j,,,,,,,,,,,,,CHABRAN,,,,,,,258.0,EIFFERT,,,,,,TURNER~e,,,CERVETTO-gb,,,,
1.0,,,,,,,,,,,,,,,,,,,,,258.0,,,,,,,TURNER~1,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,258.0,,,,,,,GUADAGNI,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,259.0,,,,,,,YOUNG~I,,,,,,,
0.0,,,,,,,,HANDEL,,,,,,,,,,,,,261.0,,,,,,,,,,,,,,
