,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
1695,1696,HAY,THREE ITALIANS 73 *,CB,B 5s; P 3s; FG 2s; SG 1s,THREE_ITALIAN_MUSICIANS.  1: CASALI OV; galuppi SG <BURANELLO> (COMIC ITALIAN); MANCINELLI-d CN FL; PICCINNI SG (SERIOUS); BACH OV; OTTANI DT 2v (SERIOUS); SG (BURLESQUE VENETIAN); ALBERTI SN HPD (VN VN WITH PIECES OF WOOD LIKE MATCHES).  2: JOMMELLI OV; SARTI SG (SERIOUS); SL VN; bernardini SG <MARCELLO_DI_CAPUA> (COMIC); ALBERTI CN FL.,MC; PA 7 May,,* Three Italian musicians; blind from birth [cf Burrows-Harris 724-5]. With a farce.,1773-05-11 19:00:00
1696,1697,A/W,BACH-ABEL 73 15TH,CS,,DIR ABEL; [BACH].,PA,,,1773-05-12 19:00:00
1697,1698,H,JANSON 73,CB,10s 6d,1: ABEL OV; SG SAVOI; SL VDAG ABEL; CN HPD H?LLMANDEL; SG CARARA~; TR vn vn vc PUGNANI VIOTTI JANSON <VIOT>; CN FL WEISS.  2: PUGNANI OV; SG SAVOI; QT HN SPANDAU; SG MILLICO; SL VC JANSON; SACCHINI DT 2v CARARA~ MILLICO; CN OB FISCHER.,PA,,,
1698,1699,H,FRASI~ 73,CB,10s 6d,LEAD HAY-r; V MILLICO WEICHSELL~f FRASI~; OB FISCHER; FL WEISS; HPD HAYES-2; VC PAXTON. SL VN HAY-r.,PA,,From 22 Apr.,1773-05-14 19:00:00
1699,1700,H,GRASSI~ 73,CB,10s 6d,DIR BACH ABEL. V SAVOI GALLI~ GRASSI~; I BACH ABEL CRAMER-w FISCHER EICHNER TACET CROSDILL. BACH o <CANTATA> (NEW) [?or BACH SG GRASSI~].,PA; PA (news),,From 16 Apr; 10 May (because of masquerade).,
1700,1701,H,MARRIOTT 73 ?,RM,10s 6d,COND ARNOLD; LEAD BARTHELEMON; V BARTHELEMON~m. ARNOLD MUSIC (NEW).,PA,,[Further] reading of 'The Jesuit' by George Marriott. With orchestra and chorusses. [See 14 Apr.],1773-05-18 19:00:00
1701,1702,H,LEE 73,CB,10s 6d,V SAVOI GRASSI~; I BACH ABEL CRAMER-w EICHNER TACET PUNTO CIRRI.,PA,,From 3 May; because of PUGNANI's [Opera] benefit.,
1702,1703,M,MARYBONE 73,GS,2s 6d,V BANNISTER THOMPSON~j YOUNG_LADY (1ST APPEARANCE) [= wilde~] BARTHELEMON~m.,PA; PA 28 May,,With fireworks. [Outside the subscription.] [And subsequently; not listed. See also 27 May.],1773-05-25 19:00:00
1703,1704,M,MARYBONE 73,GS,Subscr 3gn (2 persons) *,[burletta season opens. works performed: (27 May) HANDEL o ^ACIS_AND_GALATEA^; (15 June) BARTHELEMON o ^THE_MAGIC_GIRDLE^; (8 July) arnold o ^THE_MAGNET^; (15 July) BARTHELEMON o ^THE_WEDDING_DAY^; (22 July) PERGOLESI o ^LA_SERVA_PADRONA^; (29 July) HOOK o ^IL_DILETTANTE^; (25 Aug) BARTHELEMON o ^LA_ZINGARA^; (27 Aug) hook o ^THE_DIVORCE^; (3 Sept) o ^AMBARVALIA^. V REINHOLD THOMPSON~j YOUNG_LADY [= wilde~] BARTHELEMON~m CHORUS_SINGERS PHILLIPS-e DIBDIN BROWN-1.  [concert on 27 May:] V BANNISTER THOMPSON~j YOUNG_LADY [= wilde~] BARTHELEMON~m. CN ORG HOOK; SL VN BARTHELEMON.,PA; PA 7 May; PA 29 May,,* Once a week [and single tickets.] [Time and price vary. Only concert changes and benefits listed. See LS.],1773-05-27 18:30:00
1704,1705,,FRANCISCIS 73,CB,,[FRANCISCIS.],PA 8 May 1773,,* From 12 May [probably never took place].,
1705,1706,SSQ,SOHO GALA 73,MI,2gn (1g + 1l) etc.,,PA; PA 15 May etc.,,Mrs Cornelys' Grand gala with concert; from 19 May etc. [but later: Assembly masquerade.],
1706,1707,H,GIORDANI AND GIORDANI~ 73,CB,10s 6d,[GIORDANI GIORDANI~.],PA,,,1773-06-02 12:00:00
