0,1,2,3,4,No
3.0,,,,,3124
0.0,7.0,,,,3126
0.0,6.0,,,,3128
0.0,7.0,,,,3129
0.0,8.0,,,,3130
0.0,6.0,,,,3131
0.0,5.0,,,,3132
0.0,6.0,,,,3133
0.0,6.0,,,,3134
0.0,5.0,,,,3135
0.0,6.0,,,,3138
0.0,6.0,,,,3139
0.0,5.0,,,,3142
0.0,6.0,,,,3143
0.0,6.0,,,,3145
0.0,5.0,,,,3146
1.0,7.0,,,,3147
0.0,6.0,,,,3150
0.0,6.0,,,,3151
0.0,6.0,,,,3152
0.0,5.0,,,,3153
0.0,7.0,,,,3154
0.0,6.0,,,,3156
0.0,7.0,,,,3157
0.0,6.0,,,,3158
0.0,8.0,,,,3159
0.0,5.0,,,,3162
0.0,5.0,,,,3165
0.0,5.0,,,,3166
0.0,6.0,,,,3168
0.0,6.0,,,,3171
0.0,5.0,,,,3175
1.0,6.0,,,,3177
0.0,6.0,,,,3178
0.0,8.0,,,,3182
0.0,6.0,,,,3183
0.0,6.0,,,,3184
0.0,5.0,,,,3185
0.0,6.0,,,,3186
3.0,,,,,3188
0.0,6.0,,,,3189
3.0,,,,,3192
0.0,6.0,,,,3193
4.0,,,,,3194
4.0,,,,,3195
3.0,,,,,3196
5.0,,,,,3197
0.0,6.0,,,,3198
3.0,,,,,3199
0.0,6.0,,,,3200
3.0,,,,,3201
3.0,,,,,3202
0.0,5.0,,,,3203
0.0,6.0,,,,3205
1.0,,,,,3206
2.0,,,,,3207
5.0,,,,,3208
0.0,5.0,,,,3209
0.0,6.0,,,,3210
3.0,,,,,3211
2.0,,,,,3213
2.0,,,,,3214
0.0,5.0,,,,3215
1.0,8.0,,,,3216
0.0,7.0,,,,3217
0.0,6.0,,,,3218
0.0,6.0,,,,3219
0.0,4.0,,,,3220
0.0,6.0,,,,3221
5.0,,,,,3223
0.0,6.0,,,,3224
0.0,5.0,,,,3225
0.0,6.0,,,,3226
0.0,7.0,,,,3227
0.0,7.0,,,,3228
0.0,6.0,,,,3229
0.0,5.0,,,,3230
0.0,6.0,,,,3232
0.0,6.0,,,,3233
0.0,6.0,,,,3234
4.0,,,,,3235
